department_name,course_name,semester_year,term_name,course_code,student_id_count,high_school_gpa_mean
Business,Building a Data Science Team,2020,Fall,BUSI-1000,4,3.0575
Urban Studie,Building a Data Science Team,2017,Fall,BUSI-1000,2,3.03
Personal Development,Building a Data Science Team,2018,Fall,BUSI-1000,1,3.5
Geography,Building a Data Science Team,2016,Fall,BUSI-1000,2,3.365
Economics and Finance,Building a Data Science Team,2020,Fall,BUSI-1000,1,4.37
Film,Corporate Finance for Healthcare Administrators,2014,Fall,BUSI-1900,1,3.71
Geography,Corporate Finance for Healthcare Administrators,2016,Fall,BUSI-1900,2,3.265
Math,Corporate Finance for Healthcare Administrators,2017,Fall,BUSI-1900,1,3.33
Aeronautics,Corporate Finance for Healthcare Administrators,2015,Fall,BUSI-1900,1,2.7
Architecture,Design Thinking for the Greater Good: Innovation in the Social Sector,2014,Fall,BUSI-2500,1,3.36
Aeronautics,Design Thinking for the Greater Good: Innovation in the Social Sector,2015,Fall,BUSI-2500,2,3.015
Anthropology,Design Thinking for the Greater Good: Innovation in the Social Sector,2017,Fall,BUSI-2500,3,2.866666667
Geography,Design Thinking for the Greater Good: Innovation in the Social Sector,2016,Fall,BUSI-2500,1,3.26
Urban Studie,Design Thinking for the Greater Good: Innovation in the Social Sector,2014,Fall,BUSI-2500,1,3.2
Computer Science,Essentials of Advertising and Marketing,2016,Fall,BUSI-3400,1,3.23
Design,Essentials of Advertising and Marketing,2017,Fall,BUSI-3400,2,3.77
Writing,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,2015,Fall,BUSI-7500,1,3.35
Art,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,2014,Fall,BUSI-7500,1,3.47
Art,Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,2017,Fall,BUSI-7500,1,2.67
Geography,Project Management: The Basics for Success,2017,Fall,BUSI-9200,1,2.76
Media Studies,Project Management: The Basics for Success,2017,Fall,BUSI-9200,1,3.45
Architecture,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,2014,Fall,BUSI-10200,1,3.08
Classics,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,2015,Fall,BUSI-10200,2,2.885
Business,The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy,2018,Fall,BUSI-10200,4,3.375
Classics,Capitalism: Success Crisis and Reform,2014,Fall,ECON-0800,1,3.03
Literature,Capitalism: Success Crisis and Reform,2017,Fall,ECON-0800,1,3.18
Economics and Finance,Economic History of the Soviet Union,2015,Fall,ECON-1900,7,3.217142857
Psychology and Neuroscience,Economic History of the Soviet Union,2016,Fall,ECON-1900,1,2.82
Data Science,Finance Theory 1,2016,Fall,ECON-2200,1,2.62
Communication,Finance Theory 1,2017,Fall,ECON-2200,1,3.25
Computer Science,Political Economy After the Crisis,2017,Fall,ECON-5800,2,2.94
Design,Political Economy After the Crisis,2015,Fall,ECON-5800,1,3.23
Anthropology,Political Economy After the Crisis,2018,Fall,ECON-5800,1,3.04
Urban Studie,Media Research Methods,2014,Fall,MEDI-1100,1,3.21
Political Science,Media Research Methods,2018,Fall,MEDI-1100,1,3.15
Music and Performing Arts,Musical Improvisation,2018,Fall,MUSI-1000,15,3.204666667
World Languages,Musical Improvisation,2020,Fall,MUSI-1000,1,3.07
Religion,Musical Improvisation,2014,Fall,MUSI-1000,1,3.34
Biology,Musical Improvisation,2019,Fall,MUSI-1000,1,3.32
Business,Wonders of Ancient Egypt,2020,Fall,ARHY-0900,1,2.73
Business,Wonders of Ancient Egypt,2016,Fall,ARHY-0900,1,3.23
Aeronautics,Wonders of Ancient Egypt,2018,Fall,ARHY-0900,2,3.155
Environment and Natural Resources,Wonders of Ancient Egypt,2018,Fall,ARHY-0900,1,2.7
Media Studies,Wonders of Ancient Egypt,2014,Fall,ARHY-0900,1,3.53
Aeronautics,Wonders of Ancient Egypt,2019,Fall,ARHY-0900,1,3.54
Computer Science,Theory of City Form,2020,Fall,ARCH-1000,1,3.85
Political Science,Theory of City Form,2018,Fall,ARCH-1000,1,3.33
Urban Studie,What Is Contemporary Art?,2015,Fall,ARTC-2500,1,3.46
Economics and Finance,What Is Contemporary Art?,2019,Fall,ARTC-2500,1,2.92
Sociology,General Biology 1,2014,Fall,BIOL-4000,1,2.8
Music and Performing Arts,General Biology 1,2017,Fall,BIOL-4000,1,3.51
Urban Studie,Pre-Med Primer: What Your Advisor Won't Tell You,2017,Fall,BIOL-8100,3,3.233333333
Media Studies,The History of Public Health,2016,Fall,BIOL-9000,1,3.32
Archaeology,Cosmic Origin of the Chemical Elements,2019,Fall,CHEM-0600,2,3.34
History,Cosmic Origin of the Chemical Elements,2015,Fall,CHEM-0600,1,3.03
Law,Cosmic Origin of the Chemical Elements,2018,Fall,CHEM-0600,1,3.69
Business,Cosmic Origin of the Chemical Elements,2020,Fall,CHEM-0600,1,2.37
History,Cosmic Origin of the Chemical Elements,2019,Fall,CHEM-0600,1,2.99
Classics,Ancient and Medieval Philosophy,2014,Fall,CLAS-0100,25,3.2324
Computer Science,Ancient and Medieval Philosophy,2014,Fall,CLAS-0100,1,3.38
Film,Ancient and Medieval Philosophy,2019,Fall,CLAS-0100,1,3.04
Architecture,Ancient and Medieval Philosophy,2018,Fall,CLAS-0100,1,3.46
Psychology and Neuroscience,Ancient and Medieval Philosophy,2018,Fall,CLAS-0100,1,3.65
Media Studies,Ancient and Medieval Philosophy,2014,Fall,CLAS-0100,1,2.68
Personal Development,Ancient Greece: City and Society,2020,Fall,CLAS-0200,1,3.03
Psychology and Neuroscience,Ancient Greece: City and Society,2016,Fall,CLAS-0200,1,2.94
Sociology,Ancient Greece: City and Society,2015,Fall,CLAS-0200,1,3.55
Physics,Inter-Collegiate Debating I,2017,Fall,COMM-1300,1,2.99
Personal Development,Inter-Collegiate Debating I,2015,Fall,COMM-1300,1,3.52
Film,Inter-Collegiate Debating I,2018,Fall,COMM-1300,1,2.97
World Languages,Overcoming Public Speaking Anxiety,2016,Fall,COMM-1400,1,3.51
Psychology and Neuroscience,Overcoming Public Speaking Anxiety,2019,Fall,COMM-1400,1,3.3
Aeronautics,Overcoming Public Speaking Anxiety,2015,Fall,COMM-1400,1,3.32
Data Science,Overcoming Public Speaking Anxiety,2018,Fall,COMM-1400,1,2.86
Film,Overcoming Public Speaking Anxiety,2014,Fall,COMM-1400,1,3.12
Urban Studie,Overcoming Public Speaking Anxiety,2018,Fall,COMM-1400,1,3.2
Health,Exploring Play: the Importance of Play in Everyday Life,2015,Fall,HEAL-0700,17,3.226470588
Anthropology,Exploring Play: the Importance of Play in Everyday Life,2016,Fall,HEAL-0700,1,3.5
Economics and Finance,Exploring Play: the Importance of Play in Everyday Life,2017,Fall,HEAL-0700,1,3.81
Astronomy,Exploring Play: the Importance of Play in Everyday Life,2019,Fall,HEAL-0700,1,3.12
Health,The Science and Practice of Yoga,2018,Fall,HEAL-2400,8,3.2375
Design,The Science and Practice of Yoga,2019,Fall,HEAL-2400,1,3.18
Political Science,The Science and Practice of Yoga,2018,Fall,HEAL-2400,1,3.47
History,Ben Franklin and the World of the Enlightenment,2020,Fall,HIST-1600,4,3.2875
Personal Development,Ben Franklin and the World of the Enlightenment,2018,Fall,HIST-1600,1,3.59
Religion,Ben Franklin and the World of the Enlightenment,2020,Fall,HIST-1600,1,3.78
Urban Studie,Ben Franklin and the World of the Enlightenment,2015,Fall,HIST-1600,1,2.5
Physics,Ben Franklin and the World of the Enlightenment,2016,Fall,HIST-1600,1,3.71
Astronomy,Ben Franklin and the World of the Enlightenment,2020,Fall,HIST-1600,1,4.05
Law,Constitutional Convention,2018,Fall,HIST-2100,3,3.206666667
Architecture,Constitutional Convention,2014,Fall,HIST-2100,1,3.57
History,Constitutional Convention,2017,Fall,HIST-2100,4,3.255
Economics and Finance,Constitutional Convention,2017,Fall,HIST-2100,1,3.66
History,Constitutional Convention,2018,Fall,HIST-2100,6,3.281666667
Math,Constitutional Convention,2017,Fall,HIST-2100,1,3
Writing,Constitutional Convention,2018,Fall,HIST-2100,1,3.24
Health,Harvey Goldberg Lectures (1975-1983),2016,Fall,HIST-3800,1,2.85
Anthropology,Harvey Goldberg Lectures (1975-1983),2015,Fall,HIST-3800,1,3.02
Geography,Harvey Goldberg Lectures (1975-1983),2015,Fall,HIST-3800,1,2.96
Law,Harvey Goldberg Lectures (1975-1983),2017,Fall,HIST-3800,1,2.92
Environment and Natural Resources,Harvey Goldberg Lectures (1975-1983),2014,Fall,HIST-3800,1,3.16
Data Science,Harvey Goldberg Lectures (1975-1983),2016,Fall,HIST-3800,1,2.9
Astronomy,Harvey Goldberg Lectures (1975-1983),2015,Fall,HIST-3800,1,3.44
Design,History and Practice of Human Rights,2017,Fall,HIST-4000,1,2.86
History,History of the International System,2017,Fall,HIST-4400,3,3.04
Archaeology,History of the International System,2016,Fall,HIST-4400,1,3.25
History,Introduction to Ancient Greek History,2014,Fall,HIST-5300,5,2.964
Music and Performing Arts,Introduction to Ancient Greek History,2015,Fall,HIST-5300,1,3.4
Architecture,Rethinking the Black Liberation Movement,2015,Fall,HIST-6500,1,3.09
Urban Studie,Rethinking the Black Liberation Movement,2016,Fall,HIST-6500,2,3.07
Personal Development,Russian History: from Lenin to Putin,2016,Fall,HIST-6700,1,3.13
Aeronautics,Russian History: from Lenin to Putin,2017,Fall,HIST-6700,3,3.3
World Languages,Russian History: from Lenin to Putin,2015,Fall,HIST-6700,1,3.5
Biology,Russian History: from Lenin to Putin,2017,Fall,HIST-6700,1,3.7
Film,The Early Middle Ages 284-1000,2014,Fall,HIST-7900,1,3.53
Biology,The Early Middle Ages 284-1000,2014,Fall,HIST-7900,1,2.96
Aeronautics,The Early Middle Ages 284-1000,2016,Fall,HIST-7900,1,3.21
Chemistry,The Holocaust,2016,Fall,HIST-8200,2,3.445
Psychology and Neuroscience,The Holocaust,2015,Fall,HIST-8200,1,3.02
Physics,The Ottoman Empire,2017,Fall,HIST-9100,1,2.44
Business,Contemporary Literature,2017,Fall,LITE-0700,1,3.01
Design,Contemporary Literature,2014,Fall,LITE-0700,1,2.73
Law,Contemporary Literature,2014,Fall,LITE-0700,1,3.58
Aeronautics,Contemporary Literature,2017,Fall,LITE-0700,1,3.31
Health,Dune (Novel by Frank Herbert),2017,Fall,LITE-1500,1,3.05
Art,Dune (Novel by Frank Herbert),2015,Fall,LITE-1500,1,3.2
Business,Expansive Poetics,2014,Fall,LITE-1800,1,2.7
Archaeology,Expansive Poetics,2014,Fall,LITE-1800,1,3.46
Architecture,Expansive Poetics,2014,Fall,LITE-1800,1,4.07
Writing,Fiction for Young Adults,2017,Fall,LITE-2000,1,4.06
Literature,Fiction for Young Adults,2020,Fall,LITE-2000,1,2.73
Geography,Fiction for Young Adults,2014,Fall,LITE-2000,2,2.87
Archaeology,Fiction for Young Adults,2014,Fall,LITE-2000,2,3.05
Religion,Fiction for Young Adults,2016,Fall,LITE-2000,1,3.56
Aeronautics,Introduction to Modern Japanese Literature and Culture,2015,Fall,LITE-3000,1,3.18
Environment and Natural Resources,Introduction to Modern Japanese Literature and Culture,2018,Fall,LITE-3000,2,3.28
Film,Introduction to Modern Japanese Literature and Culture,2017,Fall,LITE-3000,2,3.775
Literature,Lord of the Rings II: The Two Towers,2016,Fall,LITE-4300,8,3.05125
Geography,Lord of the Rings II: The Two Towers,2018,Fall,LITE-4300,1,3.36
Classics,Lord of the Rings II: The Two Towers,2015,Fall,LITE-4300,1,3.32
Astronomy,Not Shakespeare: Elizabethan and Jacobean Popular Theatre,2016,Fall,LITE-4700,1,2.8
Literature,The Shaping of Middle Earth,2017,Fall,LITE-6900,7,3.49
Health,Tolkien's The Book of Lost Tales: Part 1,2014,Fall,LITE-7500,1,3.27
Urban Studie,Tolkien's The Book of Lost Tales: Part 1,2017,Fall,LITE-7500,1,3.07
Aeronautics,Topics in Mathematics with Applications in Finance,2014,Fall,MATH-7600,1,3
Personal Development,A Romp Through Ethics for Complete Beginners,2020,Fall,PHIL-0200,2,3.43
Anthropology,A Romp Through Ethics for Complete Beginners,2015,Fall,PHIL-0200,1,3.77
Architecture,A Romp Through Ethics for Complete Beginners,2017,Fall,PHIL-0200,3,2.983333333
Geography,A Romp Through Ethics for Complete Beginners,2018,Fall,PHIL-0200,2,2.925
Media Studies,A Romp Through Ethics for Complete Beginners,2020,Fall,PHIL-0200,1,3.08
Film,A Romp Through Ethics for Complete Beginners,2014,Fall,PHIL-0200,1,3.68
Psychology and Neuroscience,A Romp Through Ethics for Complete Beginners,2014,Fall,PHIL-0200,1,3.23
Film,A Romp Through Ethics for Complete Beginners,2016,Fall,PHIL-0200,1,3.37
Music and Performing Arts,A Romp Through Ethics for Complete Beginners,2019,Fall,PHIL-0200,2,3.655
Biology,A Romp Through Ethics for Complete Beginners,2017,Fall,PHIL-0200,1,2.87
Aeronautics,Authority & the Individual: Six BBC Lectures,2018,Fall,PHIL-1500,2,3.115
Archaeology,Authority & the Individual: Six BBC Lectures,2016,Fall,PHIL-1500,1,3.61
Film,Authority & the Individual: Six BBC Lectures,2018,Fall,PHIL-1500,2,3.305
Business,Authority & the Individual: Six BBC Lectures,2015,Fall,PHIL-1500,1,3.77
Design,Authority & the Individual: Six BBC Lectures,2020,Fall,PHIL-1500,1,3.27
Aeronautics,Bioethics: An Introduction,2015,Fall,PHIL-1600,2,3.065
Aeronautics,Bioethics: An Introduction,2014,Fall,PHIL-1600,1,3.6
Personal Development,Bioethics: An Introduction,2017,Fall,PHIL-1600,1,3.46
Classics,Bioethics: An Introduction,2015,Fall,PHIL-1600,2,2.895
Biology,Bioethics: An Introduction,2016,Fall,PHIL-1600,1,3.22
History,Bioethics: An Introduction,2014,Fall,PHIL-1600,1,3.03
Archaeology,Heidegger Meets Van Gogh: Art Freedom and Technology,2017,Fall,PHIL-5700,1,3.22
Urban Studie,Free Online Video + Audio,2016,Fall,PHIL-9000,1,3.46
Literature,Philosophy and the Science of Human Nature,2018,Fall,PHIL-12900,1,4.19
Urban Studie,Philosophy and the Science of Human Nature,2017,Fall,PHIL-12900,1,3.4
Archaeology,Philosophy of Mind,2018,Fall,PHIL-13900,1,3.49
Aeronautics,Philosophy of Mind,2015,Fall,PHIL-13900,1,2.62
Anthropology,Philosophy of Mind,2016,Fall,PHIL-13900,1,3.41
Literature,Philosophy of Mind,2017,Fall,PHIL-13900,1,3.47
Literature,Philosophy of Mind,2018,Fall,PHIL-13900,1,3.7
Geography,Philosophy of Mind,2015,Fall,PHIL-13900,1,3.81
Physics,Philosophy of Mind,2015,Fall,PHIL-13900,1,3.81
Archaeology,The Self Under Siege,2014,Fall,PHIL-20000,2,3.29
Philosophy,The Self Under Siege,2016,Fall,PHIL-20000,2,3.21
Philosophy,The Self Under Siege,2015,Fall,PHIL-20000,3,2.97
Film,What Does It Mean to Be Human? An Introduction to the Humanities,2014,Fall,PHIL-21000,2,2.955
Film,Modern Theoretical Physics: Cosmology (2013),2014,Fall,PHYS-4500,2,3.065
Communication,Modern Theoretical Physics: Cosmology (2013),2015,Fall,PHYS-4500,1,3.44
Business,Modern Theoretical Physics: Cosmology (2013),2018,Fall,PHYS-4500,2,3.415
Economics and Finance,Modern Theoretical Physics: Cosmology (2013),2017,Fall,PHYS-4500,1,3.38
Classics,Modern Theoretical Physics: Cosmology (2013),2015,Fall,PHYS-4500,1,3.67
Law,Modern Theoretical Physics: Cosmology (2013),2016,Fall,PHYS-4500,1,3.19
Music and Performing Arts,Soft X-Rays and Extreme Ultraviolet Radiation,2016,Fall,PHYS-7300,3,3.223333333
Aeronautics,Soft X-Rays and Extreme Ultraviolet Radiation,2015,Fall,PHYS-7300,1,3.02
Economics and Finance,State of the Union 2014,2018,Fall,POLI-3100,1,3.26
Computer Science,Industrial/Organizational Psychology,2019,Fall,PSYC-2600,1,3.29
Math,The Biology of Consciousness,2017,Fall,PSYC-7600,1,2.62
Communication,The Biology of Consciousness,2014,Fall,PSYC-7600,1,3.34
Math,Understanding Memory: Explaining the Psychology of Memory through Movies,2017,Fall,PSYC-8400,1,2.89
Religion,Biblical Theology,2014,Fall,RELI-0500,9,3.155555556
History,Biblical Theology,2014,Fall,RELI-0500,1,2.7
Environment and Natural Resources,Biblical Theology,2016,Fall,RELI-0500,1,3.52
Data Science,Biblical Theology,2020,Fall,RELI-0500,1,2.97
Economics and Finance,The Hebrew Scriptures in Judaism & Christianity,2015,Fall,RELI-4700,1,3.64
Urban Studie,The Hebrew Scriptures in Judaism & Christianity,2017,Fall,RELI-4700,1,3.09
Math,The Hebrew Scriptures in Judaism & Christianity,2017,Fall,RELI-4700,2,2.855
Sociology,The Talmud: A Methodological Introduction,2016,Fall,RELI-5000,1,3.25
Economics and Finance,The Talmud: A Methodological Introduction,2016,Fall,RELI-5000,1,3.33
Environment and Natural Resources,Beginning Chinese Reader,2015,Fall,WORL-0900,2,3.225
Sociology,Beginning Chinese Reader,2019,Fall,WORL-0900,1,3.32
Sociology,Beginning Chinese Reader,2015,Fall,WORL-0900,1,3.38
Philosophy,Beginning Chinese Reader,2017,Fall,WORL-0900,2,3.205
Aeronautics,Beginning Chinese Reader,2017,Fall,WORL-0900,1,3.31
Law,Brazilian Portuguese Pronunciation,2015,Fall,WORL-1400,1,3.11
Chemistry,Dialogue for German Learners: Beginner's Level,2014,Fall,WORL-1600,2,3.215
Media Studies,Dialogue for German Learners: Beginner's Level,2015,Fall,WORL-1600,1,3.47
Data Science,Dialogue for German Learners: Beginner's Level,2016,Fall,WORL-1600,1,2.83
Astronomy,Dialogue for German Learners: Beginner's Level,2018,Fall,WORL-1600,1,3.1
Sociology,Dialogue for German Learners: Beginner's Level,2019,Fall,WORL-1600,1,3.21
Design,Dialogue for German Learners: Beginner's Level,2016,Fall,WORL-1600,1,3.52
Film,Mandarin Chinese Characters,2015,Fall,WORL-2900,1,3.68
Communication,Mandarin Chinese Characters,2016,Fall,WORL-2900,1,3.46
Architecture,Mandarin Chinese Characters,2015,Fall,WORL-2900,1,2.81
Astronomy,Mandarin Chinese Characters,2017,Fall,WORL-2900,1,3.35
Business,Advanced Data Structures,2020,Fall,COMP-0200,1,3.22
Classics,Advanced Data Structures,2020,Fall,COMP-0200,1,3.45
Computer Science,Android Development,2016,Fall,COMP-1000,4,3.5425
Anthropology,Android Development,2018,Fall,COMP-1000,1,3.28
Economics and Finance,Artificial Intelligence,2014,Fall,COMP-1300,1,3.33
Communication,Artificial Intelligence,2015,Fall,COMP-1300,1,2.64
Computer Science,Artificial Intelligence,2019,Fall,COMP-1300,2,3.335
Writing,Artificial Intelligence,2018,Fall,COMP-1300,1,3.44
Design,Artificial Intelligence,2017,Fall,COMP-1300,2,3.3
Geography,Artificial Intelligence,2019,Fall,COMP-1300,1,3.53
World Languages,Artificial Intelligence,2015,Fall,COMP-1300,1,2.79
Physics,Artificial Intelligence,2015,Fall,COMP-1300,1,3.43
Philosophy,Artificial Intelligence,2020,Fall,COMP-1300,1,2.9
Urban Studie,Database Systems Design,2016,Fall,COMP-5100,1,3.35
Engineering,Database Systems Design,2018,Fall,COMP-5100,1,2.89
Aeronautics,Developing iOS 10 Apps with Swift,2017,Fall,COMP-6200,3,3.313333333
Classics,Developing iOS 10 Apps with Swift,2016,Fall,COMP-6200,1,2.93
Aeronautics,Discrete Mathematics and Probability Theory,2015,Fall,COMP-6500,1,3.24
Philosophy,Foundations of Computer Graphics,2014,Fall,COMP-7200,2,3.06
Geography,Foundations of Computer Graphics,2015,Fall,COMP-7200,1,3.45
Health,Higher Computing,2015,Fall,COMP-7600,1,3.11
Classics,Higher Computing,2015,Fall,COMP-7600,1,2.93
Economics and Finance,Higher Computing,2015,Fall,COMP-7600,1,2.66
Aeronautics,Higher Computing,2014,Fall,COMP-7600,1,2.6
Political Science,Higher Computing,2015,Fall,COMP-7600,1,3.02
Classics,Improving Deep Neural Networks: Hyperparameter tuning Regularization and Optimization,2014,Fall,COMP-7900,1,2.82
Literature,Neural Networks and Deep Learning,2015,Fall,COMP-13700,1,3.33
Sociology,Probability for Computer Scientists,2016,Fall,COMP-14600,1,3.23
Film,Probability for Computer Scientists,2014,Fall,COMP-14600,1,2.92
Data Science,Python for Data Science and AI,2018,Fall,COMP-15400,2,3.205
Psychology and Neuroscience,Python for Data Science and AI,2014,Fall,COMP-15400,1,3.02
Engineering,Python for Data Science and AI,2017,Fall,COMP-15400,1,3.52
Design,Python Data Analysis,2018,Fall,COMP-15500,1,3.38
Film,Python Data Analysis,2015,Fall,COMP-15500,1,3.35
Archaeology,The Beauty and Joy of Computing,2015,Fall,COMP-16900,1,4
Personal Development,The Beauty and Joy of Computing,2014,Fall,COMP-16900,1,3.15
Computer Science,The Beauty and Joy of Computing,2020,Fall,COMP-16900,1,3.36
Writing,The Beauty and Joy of Computing,2016,Fall,COMP-16900,1,3.4
Math,The Beauty and Joy of Computing,2015,Fall,COMP-16900,1,2.8
Economics and Finance,The Beauty and Joy of Computing,2016,Fall,COMP-16900,1,3.13
Media Studies,The Beauty and Joy of Computing,2019,Fall,COMP-16900,1,2.68
Music and Performing Arts,The Society of Mind,2017,Fall,COMP-17200,2,3.365
Physics,The Society of Mind,2014,Fall,COMP-17200,1,3.4
Data Science,The Society of Mind,2014,Fall,COMP-17200,1,3.05
Aeronautics,The Society of Mind,2016,Fall,COMP-17200,2,3.075
Geography,The Society of Mind,2015,Fall,COMP-17200,1,2.53
Sociology,Theory of Computation,2018,Fall,COMP-17500,2,3.015
History,Theory of Computation,2016,Fall,COMP-17500,1,3.86
Psychology and Neuroscience,Theory of Computation,2018,Fall,COMP-17500,1,3.43
Personal Development,Theory of Computation,2018,Fall,COMP-17500,1,2.73
Biology,Theory of Computation,2018,Fall,COMP-17500,1,3.4
Biology,Theory of Computation,2017,Fall,COMP-17500,1,3.7
Architecture,Developing Data Products,2017,Fall,DATA-1900,2,3.2
Classics,Developing Data Products,2017,Fall,DATA-1900,1,3.19
Anthropology,Developing Data Products,2017,Fall,DATA-1900,1,2.85
Physics,Developing Data Products,2018,Fall,DATA-1900,1,2.84
Astronomy,Open Source Tools for Data Science,2015,Fall,DATA-3200,2,3.245
Economics and Finance,Open Source Tools for Data Science,2017,Fall,DATA-3200,1,3.6
Aeronautics,Open Source Tools for Data Science,2014,Fall,DATA-3200,1,3.58
Philosophy,Atomistic Computer Modeling of Materials,2015,Fall,ENGI-0300,1,2.93
Business,Atomistic Computer Modeling of Materials,2019,Fall,ENGI-0300,1,3.06
Biology,Atomistic Computer Modeling of Materials,2018,Fall,ENGI-0300,1,2.93
Art,Atomistic Computer Modeling of Materials,2015,Fall,ENGI-0300,1,3.35
History,Atomistic Computer Modeling of Materials,2014,Fall,ENGI-0300,1,3.03
Urban Studie,Atomistic Computer Modeling of Materials,2017,Fall,ENGI-0300,1,2.9
Classics,Electronic Feedback Systems,2015,Fall,ENGI-2200,1,3.61
Personal Development,Introduction to Engineering,2014,Fall,ENGI-4800,1,2.63
Classics,Introduction to Engineering,2015,Fall,ENGI-4800,1,3.3
Geography,Introduction to Engineering,2016,Fall,ENGI-4800,3,3.216666667
Psychology and Neuroscience,Introduction to Engineering,2014,Fall,ENGI-4800,1,2.86
Aeronautics,Introduction to Engineering,2014,Fall,ENGI-4800,3,3.216666667
Math,Nonlinear Finite Element Analysis,2016,Fall,ENGI-6300,1,2.49
Geography,Nonlinear Finite Element Analysis,2014,Fall,ENGI-6300,3,3.203333333
Computer Science,The Engineering Profession,2015,Fall,ENGI-6900,2,3.51
Archaeology,The Engineering Profession,2015,Fall,ENGI-6900,1,3.18
Geography,Understanding Lasers and Fiberoptics,2015,Fall,ENGI-7300,2,3.37
Philosophy,Understanding Lasers and Fiberoptics,2014,Fall,ENGI-7300,1,3.43
Writing,Creative Writing: The Craft of Character,2014,Fall,WRIT-0800,16,3.130625
World Languages,Creative Writing: The Craft of Character,2016,Fall,WRIT-0800,1,3.49
Media Studies,Creative Writing: The Craft of Character,2020,Fall,WRIT-0800,1,3.47
Classics,Labor Law and Employment Discrimination,2019,Fall,LAW-1000,1,2.61
Geography,Labor Law and Employment Discrimination,2014,Fall,LAW-1000,1,2.71
Chemistry,Labor Law and Employment Discrimination,2015,Fall,LAW-1000,1,3.01
Urban Studie,Labor Law and Employment Discrimination,2014,Fall,LAW-1000,1,3.21
Anthropology,Law and Economics I,2019,Fall,LAW-1100,1,3.99
Archaeology,Law and Economics I,2018,Fall,LAW-1100,2,3.22
Anthropology,Law and Economics I,2017,Fall,LAW-1100,1,2.8
Literature,Law and Economics I,2019,Fall,LAW-1100,1,3.26
Anthropology,Politics and Media Freedom,2015,Fall,LAW-1600,3,3.163333333
Engineering,Politics and Media Freedom,2017,Fall,LAW-1600,1,3.57
Music and Performing Arts,Politics and Media Freedom,2019,Fall,LAW-1600,2,3.43
Film,Politics and Media Freedom,2018,Fall,LAW-1600,1,3.18
Business,Politics and Media Freedom,2014,Fall,LAW-1600,1,3.6
Engineering,Crisis Management: Proseminar in Public Relations,2015,Fall,BUSI-2100,1,2.93
Chemistry,Crisis Management: Proseminar in Public Relations,2019,Fall,BUSI-2100,1,3.14
Economics and Finance,Crisis Management: Proseminar in Public Relations,2019,Fall,BUSI-2100,1,3.46
Art,Crisis Management: Proseminar in Public Relations,2015,Fall,BUSI-2100,1,2.86
Writing,Entrepreneurship 3: Growth Strategies,2016,Fall,BUSI-3000,1,3.27
Psychology and Neuroscience,Firm Level Economics: Consumer and Producer Behavior,2014,Fall,BUSI-3900,2,3.025
Geography,Firm Level Economics: Consumer and Producer Behavior,2016,Fall,BUSI-3900,1,3.81
Anthropology,Firm Level Economics: Consumer and Producer Behavior,2018,Fall,BUSI-3900,1,2.97
Engineering,Firm Level Economics: Consumer and Producer Behavior,2018,Fall,BUSI-3900,1,3.01
Business,Initiating and Planning Projects,2016,Fall,BUSI-5700,7,3.217142857
Computer Science,Initiating and Planning Projects,2015,Fall,BUSI-5700,2,2.99
History,Initiating and Planning Projects,2017,Fall,BUSI-5700,1,3.28
Communication,International Finance,2016,Fall,BUSI-6000,1,3.44
Business,International Taxation-II,2015,Fall,BUSI-6200,6,3.32
Literature,International Taxation-II,2016,Fall,BUSI-6200,1,3.22
Health,International Taxation-II,2016,Fall,BUSI-6200,1,3.55
Music and Performing Arts,International Taxation-II,2017,Fall,BUSI-6200,1,3.51
Business,Marketing in a Digital World,2015,Fall,BUSI-7200,3,3.433333333
Political Science,Introduction to Strategic Management,2015,Fall,BUSI-7600,1,3.17
Design,Introduction to Strategic Management,2017,Fall,BUSI-7600,1,3.16
Environment and Natural Resources,Real Estate Finance I,2016,Fall,BUSI-9300,1,3.62
Design,Real Estate Finance I,2016,Fall,BUSI-9300,1,3.28
Architecture,Real Estate Finance I,2016,Fall,BUSI-9300,1,2.45
Computer Science,Real Estate Finance I,2017,Fall,BUSI-9300,1,3.13
Philosophy,Real Estate Finance I,2014,Fall,BUSI-9300,2,3.1
World Languages,Real Estate Finance I,2014,Fall,BUSI-9300,1,2.85
World Languages,Taxation of Trans-Pacific Transactions,2015,Fall,BUSI-10000,1,3.07
Law,American Economic History,2014,Fall,ECON-0400,2,3.45
Personal Development,American Economic History,2014,Fall,ECON-0400,1,3.22
Economics and Finance,American Economic History,2019,Fall,ECON-0400,6,3.276666667
History,International Trade,2016,Fall,ECON-4000,1,3.32
Religion,International Trade,2014,Fall,ECON-4000,1,3.62
Computer Science,Money Trade and Society,2016,Fall,ECON-5500,1,3.23
Communication,Principles of Economics: Microeconomics,2016,Fall,ECON-5900,1,2.75
Geography,Principles of Economics: Microeconomics,2015,Fall,ECON-5900,1,3.01
Personal Development,Principles of Macroeconomics,2015,Fall,ECON-6200,2,2.955
Biology,Principles of Macroeconomics,2016,Fall,ECON-6200,1,3.14
